0000000061b01420 <_DllMainCRTStartup>:
    61b01420:	41 57                	push   r15
    61b01fdc:	48 8b 01             	mov    rax,QWORD PTR [rcx]
    61b01fdf:	44 89 c7             	mov    edi,r8d
    61b01fe2:	31 c9                	xor    ecx,ecx
    61b01fe4:	48 89 fa             	mov    rdx,rdi
    61b01fe7:	ff 10                	call   QWORD PTR [rax]
    61b01fe9:	49 89 c6             	mov    r14,rax
    61b01fec:	48 89 c1             	mov    rcx,rax
    61b01fef:	4c 89 fa             	mov    rdx,r15
    61b01ff2:	49 89 f8             	mov    r8,rdi
    61b01ff5:	e8 1d fd ff ff       	call   61b01d17 <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE>
    61b01ffa:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b01ffd:	48 83 64 24 20 00    	and    QWORD PTR [rsp+0x20],0x0
    61b02003:	4c 89 f1             	mov    rcx,r14
    61b02006:	89 da                	mov    edx,ebx
    61b02008:	45 31 c0             	xor    r8d,r8d
    61b0200b:	45 31 c9             	xor    r9d,r9d
    61b0200e:	ff 50 20             	call   QWORD PTR [rax+0x20]
    61b02011:	48 89 c7             	mov    rdi,rax
    61b02014:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b02017:	48 89 f9             	mov    rcx,rdi
    61b0201a:	31 d2                	xor    edx,edx
    61b0201c:	41 b8 02 00 00 00    	mov    r8d,0x2
    61b02022:	ff 50 50             	call   QWORD PTR [rax+0x50]
    61b02025:	4c 8d 4c 24 38       	lea    r9,[rsp+0x38]
    61b0202a:	41 83 61 04 00       	and    DWORD PTR [r9+0x4],0x0
    61b0202f:	41 89 19             	mov    DWORD PTR [r9],ebx
    61b02032:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b02035:	48 8b 50 70          	mov    rdx,QWORD PTR [rax+0x70]
    61b02039:	48 89 7c 24 28       	mov    QWORD PTR [rsp+0x28],rdi
    61b0203e:	48 c7 44 24 20 08 00 	mov    QWORD PTR [rsp+0x20],0x8
    61b02045:	00 00 
    61b02047:	48 89 f1             	mov    rcx,rsi
    61b0204a:	41 b0 07             	mov    r8b,0x7
    61b0204d:	e8 5c fe ff ff       	call   61b01eae <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE>
    61b02052:	85 c0                	test   eax,eax
    61b02054:	75 0b                	jne    61b02061 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E+0x99>
    61b02056:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b02059:	4c 89 f1             	mov    rcx,r14
    61b0205c:	31 d2                	xor    edx,edx
    61b0205e:	ff 50 08             	call   QWORD PTR [rax+0x8]
    61b02061:	90                   	nop
    61b02062:	48 83 c4 40          	add    rsp,0x40
    61b02066:	5b                   	pop    rbx
    61b02067:	5f                   	pop    rdi
    61b02068:	5e                   	pop    rsi
    61b02069:	41 5e                	pop    r14
    61b0206b:	41 5f                	pop    r15
    61b0206d:	c3                   	ret    

0000000061b0206e <_ZN8resolver4hash13fnv1a_32_hash17h7c9270a4df1e6101E>:
    61b0206e:	b8 c5 9d 1c 81       	mov    eax,0x811c9dc5
    61b02073:	8a 11                	mov    dl,BYTE PTR [rcx]
    61b02075:	84 d2                	test   dl,dl
    61b02077:	74 23                	je     61b0209c <_ZN8resolver4hash13fnv1a_32_hash17h7c9270a4df1e6101E+0x2e>
    61b02079:	44 8d 42 e0          	lea    r8d,[rdx-0x20]
    61b0207d:	80 fa 60             	cmp    dl,0x60
    61b02080:	44 0f b6 ca          	movzx  r9d,dl
    61b02084:	41 0f b6 d0          	movzx  edx,r8b
    61b02088:	41 0f 4e d1          	cmovle edx,r9d
    61b0208c:	0f be d2             	movsx  edx,dl
    61b0208f:	31 d0                	xor    eax,edx
    61b02091:	69 c0 93 01 00 01    	imul   eax,eax,0x1000193
    61b02097:	48 ff c1             	inc    rcx
    61b0209a:	eb d7                	jmp    61b02073 <_ZN8resolver4hash13fnv1a_32_hash17h7c9270a4df1e6101E+0x5>
    61b0209c:	c3                   	ret    

0000000061b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>:
    61b0209d:	41 57                	push   r15
    61b0209f:	41 56                	push   r14
    61b020a1:	41 55                	push   r13
    61b020a3:	41 54                	push   r12
    61b020a5:	56                   	push   rsi
    61b020a6:	57                   	push   rdi
    61b020a7:	55                   	push   rbp
    61b020a8:	53                   	push   rbx
    61b020a9:	48 83 ec 28          	sub    rsp,0x28
    61b020ad:	45 89 c5             	mov    r13d,r8d
    61b020b0:	48 89 d7             	mov    rdi,rdx
    61b020b3:	48 89 4c 24 20       	mov    QWORD PTR [rsp+0x20],rcx
    61b020b8:	8b 42 3c             	mov    eax,DWORD PTR [rdx+0x3c]
    61b020bb:	8b 84 02 88 00 00 00 	mov    eax,DWORD PTR [rdx+rax*1+0x88]
    61b020c2:	8b 74 02 20          	mov    esi,DWORD PTR [rdx+rax*1+0x20]
    61b020c6:	44 8b 7c 02 24       	mov    r15d,DWORD PTR [rdx+rax*1+0x24]
    61b020cb:	8b 5c 02 18          	mov    ebx,DWORD PTR [rdx+rax*1+0x18]
    61b020cf:	44 8b 64 02 1c       	mov    r12d,DWORD PTR [rdx+rax*1+0x1c]
    61b020d4:	49 01 d4             	add    r12,rdx
    61b020d7:	48 01 d6             	add    rsi,rdx
    61b020da:	45 31 f6             	xor    r14d,r14d
    61b020dd:	4c 39 f3             	cmp    rbx,r14
    61b020e0:	74 33                	je     61b02115 <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE+0x78>
    61b020e2:	4c 89 f5             	mov    rbp,r14
    61b020e5:	49 ff c6             	inc    r14
    61b020e8:	8b 0c ae             	mov    ecx,DWORD PTR [rsi+rbp*4]
    61b020eb:	48 01 f9             	add    rcx,rdi
    61b020ee:	e8 7b ff ff ff       	call   61b0206e <_ZN8resolver4hash13fnv1a_32_hash17h7c9270a4df1e6101E>
    61b020f3:	44 39 e8             	cmp    eax,r13d
    61b020f6:	75 e5                	jne    61b020dd <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE+0x40>
    61b020f8:	49 01 ff             	add    r15,rdi
    61b020fb:	41 0f b7 04 6f       	movzx  eax,WORD PTR [r15+rbp*2]
    61b02100:	41 8b 04 84          	mov    eax,DWORD PTR [r12+rax*4]
    61b02104:	48 01 f8             	add    rax,rdi
    61b02107:	48 8b 4c 24 20       	mov    rcx,QWORD PTR [rsp+0x20]
    61b0210c:	48 89 41 08          	mov    QWORD PTR [rcx+0x8],rax
    61b02110:	83 21 00             	and    DWORD PTR [rcx],0x0
    61b02113:	eb 12                	jmp    61b02127 <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE+0x8a>
    61b02115:	48 b8 01 00 00 00 25 	movabs rax,0xc000022500000001
    61b0211c:	02 00 c0 
    61b0211f:	48 8b 4c 24 20       	mov    rcx,QWORD PTR [rsp+0x20]
    61b02124:	48 89 01             	mov    QWORD PTR [rcx],rax
    61b02127:	48 83 c4 28          	add    rsp,0x28
    61b0212b:	5b                   	pop    rbx
    61b0212c:	5d                   	pop    rbp
    61b0212d:	5f                   	pop    rdi
    61b0212e:	5e                   	pop    rsi
    61b0212f:	41 5c                	pop    r12
    61b02131:	41 5d                	pop    r13
    61b02133:	41 5e                	pop    r14
    61b02135:	41 5f                	pop    r15
    61b02137:	c3                   	ret    


